BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,1,29,Banana,ERODE,2,KHARIF,HORTICULTURE,TAMILNADU,"ANTHRACNOSE IN BANANA","SPRAY CHLOROTHALONIL 2GLITRE OF WATER",11.4905,77.3505
"0   ",0,2009,1,17,Banana,TIRUNELVELI,2,KHARIF,HORTICULTURE,TAMILNADU,"ANTHRACNOSE IN BANANA","SPRAY CHLOROTHALONIL 2GLITRE OF WATER",8.72031,77.7075
"0   ",0,2010,3,11,Banana,MALAPPURAM,0,nan,HORTICULTURE,KERALA,"control of Anthracnose disease in Banana","AnthracnoseSpray copper oxychloride 025 or Bordeaux mixture 1 or chlorothaloail 02 or Carbendazim 01Post harvest dipping of fruits in Carbendazim 400 ppm or Benomyl 1000 ppm",11.1068,76.11
"0   ",0,2010,8,21,Banana,PURI,75,JAYAD,HORTICULTURE,ODISHA,"ANTHRACNOSE IN BANANA","SPRAY BAVISTIN  15GMLIT OF WATER",19.8076,85.8253
"0   ",0,2010,5,29,Banana,BAUDH,75,RABI,HORTICULTURE,ODISHA,"ANTHRACNOSE DISEASE OF BANANA","SPRAY CARBENDAZIM 2GMLIT OF WATER",20.8416,84.3213
"0   ",0,2010,1,6,Banana,NAYAGARH,75,KHARIF,HORTICULTURE,ODISHA,"ANTHRACNOSE IN BANANA","SPRAY BAVISTIN  1 GMLIT OF WATER",20.2394,85.0507
"0   ",0,2011,4,17,Banana,BHAGALPUR,75,nan,HORTICULTURE,BIHAR,"ANTHRACNOSE IN BANANA","Two varieties namely Kothia and Muthia have been reported to be resistant  Spraying of bunchesplants with Bavistin or JK Stein or Topsin-M 01 or Prochloraz 015 at 20 days intervals in quite effective The last spray should be given 15-20 days before harvesting",25.2861,87.1304
"0   ",0,2011,4,24,Banana,PURNEA,75,nan,HORTICULTURE,BIHAR,"ANTHRACNOSE IN BANANA","Two varieties namely Kothia and Muthia have been reported to be resistant  Spraying of bunchesplants with Bavistin or JK Stein or Topsin-M 01 or Prochloraz 015 at 20 days intervals in quite effective The last spray should be given 15-20 days before harvesting",25.7774,87.4731
"0   ",0,2011,4,24,Banana,PURNEA,75,nan,HORTICULTURE,BIHAR,"ANTHRACNOSE IN BRINJAL",nan,25.7774,87.4731
HISAR-I,Fruits,2011,7,29,Banana,HISSAR,75,JAYAD,HORTICULTURE,HARYANA,"CONTROL OF ANTHRACNOSE IN BANANA CROP ","SPRAY OF BAVISTIN  1 GM LITRES OF WATER  ACRE ",29.8573,76.4545
"0   ",Fruits,2011,7,22,Banana,KOTTAYAM,0,nan,HORTICULTURE,KERALA,Anthracnose,"Post harvest dipping of fruits in Carbendazim 400 ppm or Benomyl 1000 ppm or Aureofunginsol 100 ppm",9.62874,76.6455
"0   ",Fruits,2011,6,15,Banana,KOZHIKODE,0,nan,HORTICULTURE,KERALA,"how to control anthracnose in banana",nan,11.2451,75.7755
"0   ",Fruits,2011,7,24,Banana,PATHANAMTHITTA,0,nan,HORTICULTURE,KERALA,Anthracnose,"Post harvest dipping of fruits in Carbendazim 400 ppm or Benomyl 1000 ppm or Aureofunginsol 100 ppm",9.27808,76.9737
"0   ",0,2011,1,4,Banana,"EAST NIMAR",75,nan,HORTICULTURE,"MADHYA PRADESH","how to control Anthracnose in banana","Spray copper oxychloride 025 or Bordeaux mixture 1 or chlorothaloail 02 or Carbendazim 01",21.75,76.5833
SAINTHIA,Fruits,2011,9,7,Banana,BIRBHUM,75,JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF ANTHRACNOSE IN BANANA","SPRAY COPER OXYCHLORIDE  4GMLIT OF WATER",24.0622,87.6983
"0   ",Fruits,2012,8,23,Banana,BELGAUM,75,JAYAD,HORTICULTURE,KARNATAKA,anthracnose,"Spray copper oxychloride 025 or Bordeaux mixture 1 or chlorothaloail 02 or Carbendazim 01 Post harvest dipping of fruits in Carbendazim 400 ppm or Benomyl 1000 ppm",15.8573,74.5069
"0   ",Fruits,2012,6,21,Banana,"EAST NIMAR",75,JAYAD,HORTICULTURE,"MADHYA PRADESH","how to control anthracnose in banana","Spray copper oxychloride 025 or Bordeaux mixture 1 or chlorothaloail 02 or Carbendazim 01",21.75,76.5833
KHANDWA,Fruits,2012,6,21,Banana,"EAST NIMAR",75,JAYAD,HORTICULTURE,"MADHYA PRADESH","what is control of anthracnose  in banana ","Spray copper oxychloride 025 or Bordeaux mixture 1 or chlorothaloail 02 or Carbendazim 01",21.75,76.5833
VIDISHA,Fruits,2012,5,22,Banana,VIDISHA,75,RABI,HORTICULTURE,"MADHYA PRADESH","how to control Anthracnose control in banana ","Spray copper oxychloride 025 or Bordeaux mixture 1 or chlorothaloail 02 or Carbendazim 01",23.8463,77.837
"0   ",Fruits,2012,7,27,Banana,"WEST NIMAR","Fertilizer Use and Availability",JAYAD,HORTICULTURE,"MADHYA PRADESH","how to control Anthracnose diseasen in banana plant ","Ans Post harvest dipping of fruits in Carbendazim 400 ppm or Benomyl 1000 ppm or Aureofunginsol 100 ppm",21.8333,75.5
KATNI,Fruits,2012,5,9,Banana,KATNI,75,JAYAD,HORTICULTURE,"MADHYA PRADESH","how to control Anthracnose-of banana ","please spray of corbandism  15 mlpump ",23.7176,80.261
"0   ",Fruits,2012,11,12,Banana,JALGAON,75,nan,HORTICULTURE,MAHARASHTRA,anthracnose,"M-45 Z-78",20.8429,75.5261
"0   ",Fruits,2012,8,24,Banana,SOLAPUR,75,JAYAD,HORTICULTURE,MAHARASHTRA,"anthracnose on banana","folicure 050mllit",17.8499,75.2763
LAKHANPUR,Fruits,2012,11,14,Banana,JHARSUGUDA,"Plant Protection",nan,HORTICULTURE,ODISHA,ANTHRACNOSE,"THIOPHANATE METHYL 1glt OF WATER",21.8019,83.9714
