BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,8,12,Banana,KOZHIKODE,29,JAYAD,HORTICULTURE,KERALA,"control of Banana rhizome weevil nematodes aphids","Field sanitation neem cake 1kgplant 25 g phorate 10G eg Thimet 10G or 20 g carbofuran 3G eg Furadan 3G each 20 days 75 days and 165 days after planting",11.2451,75.7755
"0   ",0,2009,12,11,Banana,KOLLAM,0,nan,HORTICULTURE,KERALA,"control of Banana rhizome weevil nematodes aphids","Field sanitation neem cake 1kgplant 25 g phorate 10G eg Thimet 10G or 20 g carbofuran 3G eg Furadan 3G each 20 days 75 days and 165 days after planting",8.88724,76.5909
"0   ",0,2009,4,8,Banana,JALGAON,29,JAYAD,HORTICULTURE,MAHARASHTRA,"TO KNOW THE CONTROL MEASURE FOR BANANA APHIDS","PLZ SPRAY ROGAR 10 ML IN 10 LIT OF WATER",20.8429,75.5261
"0   ",0,2009,11,3,Banana,"IMPHAL EAST",76,KHARIF,HORTICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF APHIDS IN BANANA","SUGGESTED TO SPRAY DIMETHOADE 30 EC  1ML OR MONOCROTOPHOS 36 WSC  1MLLT OF WATER",24.8515,94.0095
"0   ",0,2009,11,11,Banana,"IMPHAL EAST",76,nan,HORTICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF APHIDS IN BANANA","SUGGESTED TO SPRAY DIMETHOADE 30 EC  1ML OR MONOCROTOPHOS 36 WSC  1MLLT OF WATER",24.8515,94.0095
"0   ",0,2009,2,1,Banana,BHADRAK,29,KHARIF,HORTICULTURE,ODISHA,"APHIDS PROBLEM IN BANANA","SPRAY DIMETHOATE 2MLLIT OF WATER",20.9854,86.5934
"0   ",0,2009,1,20,Banana,PERAMBALUR,29,KHARIF,HORTICULTURE,TAMILNADU,"aphids in banana","spray monocrotophos 2mllit water",11.2903,78.93
"0   ",0,2010,7,6,Banana,MANDYA,76,nan,HORTICULTURE,KARNATAKA,"aphids control in banana","confidor 05mllt h2o",12.6369,76.7275
"0   ",0,2010,1,30,Banana,KASARGOD,0,nan,HORTICULTURE,KERALA,"control of Banana rhizome weevil nematodes aphids","Field sanitation neem cake 1kgplant 25 g phorate 10G eg Thimet 10G or 20 g carbofuran 3G eg Furadan 3G each 20 days 75 days and 165 days after planting",12.4915,74.9878
"0   ",0,2010,1,1,Banana,"IMPHAL EAST",0,KHARIF,HORTICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF APHIDS IN BANANA","SUGGESTED TO SPRAY DIMETHOATE 30 EC  1MLLT OF WATER OR MONOCROTOPHOS 36 WSC 1MLLT OF WATER",24.8515,94.0095
"0   ",0,2010,12,25,Banana,KANCHEEPURAM,75,JAYAD,HORTICULTURE,TAMILNADU,"Control measures for Aphids in Chillies","Spray Methyl demeton 2 mllit",12.8796,79.7043
AMMAPET,0,2010,3,3,Banana,ERODE,0,nan,HORTICULTURE,TAMILNADU,"Control measures for Aphids in Chillies","spray methyldematon 2 mllit",11.4905,77.3505
AMMAPET,0,2010,3,3,Banana,ERODE,0,nan,HORTICULTURE,TAMILNADU,"Control measures for Aphids in Chillies","spray methyldematon 2 ml lit",11.4905,77.3505
AMMAPET,0,2010,3,3,Banana,ERODE,0,nan,HORTICULTURE,TAMILNADU,"Control measures for Aphids in Chillies","Spray Methyl demeton 2 mllit or Acephate 1 gmlit or Phosalone 2mlli",11.4905,77.3505
"0   ",0,2010,5,3,Banana,"KANNIYA KUMARI",75,RABI,HORTICULTURE,TAMILNADU,"control measure for banana aphids","The pest is the vector for Bunchy top virus disease Spray any one of the following systemic insecticides to control it Phosphamidon 2 mllit or Methyl demeton 2 mllit or Monocrotophos 1 mllit or Dimethoate 30 EC 2 mllit",10.9094,78.3665
"0   ",0,2010,5,3,Banana,SIVAGANGA,76,RABI,HORTICULTURE,TAMILNADU,"control measure for wooly aphids","spray methyk dematon 2mllit",9.84869,78.487
