BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,8,25,Banana,KOLHAPUR,2,JAYAD,HORTICULTURE,MAHARASHTRA,"Black Sigatoka ON Banana","Spray Chlorothalonil 25 WP 25 gm in 10 litre water25 ml sticker",16.7028,74.2405
UNA,Fruits,2012,3,16,Banana,JUNAGADH,75,RABI,HORTICULTURE,GUJARAT,"asking black sigatoka leaf spot disease in banana","i suggested to spray 5EC contaf  15 mlpump",21.522,70.4582
"0   ",Fruits,2012,8,20,Banana,MANDYA,75,nan,HORTICULTURE,KARNATAKA,"black sigatoka","drnch tilt 2mll",12.6369,76.7275
"0   ",Fruits,2012,8,18,Banana,SHIMOGA,75,nan,HORTICULTURE,KARNATAKA,"black sigatoka","spray tilt 2mll",14.0557,75.2381
"0   ",Fruits,2012,11,23,Banana,CHANDRAPUR,75,KHARIF,HORTICULTURE,MAHARASHTRA,"black sigatoka","spray blue coper 25gmlit",20.0968,79.5045
RANINAGAR-I,Fruits,2014,7,7,Banana,MURSHIDABAD,"Plant Protection",JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF BANANA BLACK SIGATOKA DISEASE IN BANANA","SPRAY CARBENDAZIM  1 GM LITER OF WATER",24.1746,88.2721
ANDANALLUR,Fruits,2015,5,21,Banana,TIRUCHIRAPPALLI,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"black sigatoka in banana","recommended for spray carbendazim 1glt",10.8071,78.6881
BERHAMPORE,Fruits,2016,8,1,Banana,MURSHIDABAD,"Plant Protection",KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF BLACK SIGATOKA IN BANANA","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50 WP  4GM  LITER OF WATER",24.1746,88.2721
HARIHARPARA,Fruits,2018,11,4,Banana,MURSHIDABAD,nan,0,HORTICULTURE,"WEST BENGAL","ASKING ABOUT CONTROL OF BLACK SIGATOKA IN BANANA","RECOMMENDED FOR SPRAY  PENCONAZOLE 10 EC   1 ML    2 LIT OF WATER",24.1746,88.2721
PULLAMPETA,Fruits,2019,12,22,Banana,"Y S R ","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","BANANA   BLACK SIGATOKA",nan,15.9241,80.1864
"GAURELLA-2 Pendra",Fruits,2019,7,25,Banana,BILASPUR,"Plant Protection",nan,HORTICULTURE,CHHATTISGARH,"  Farmers query about Black sigatoka Black leaf streak  disease in banana ",nan,22.1638,82.1366
BALESHWAR,Fruits,2020,10,21,Banana,BALASORE,"Plant Protection",nan,HORTICULTURE,ODISHA,"Black sigatoka disease in banana leaves ","Recommended to spray Thiophanate Methyl 70 WP  2 gm per 1 lit of water to control black sigatoka disease in banana leaves ",21.5006,86.9199
BALESHWAR,Fruits,2020,10,27,Banana,BALASORE,"Plant Protection",nan,HORTICULTURE,ODISHA,"Black sigatoka disease in banana leaves","Recommended to spray Tebuconazole 259 EC  200ml per acre with plantomycin  200 gm in 200 liter of per acre  to control Black sigatoka disease in banana leaves",21.5006,86.9199
SATYABADI,Fruits,2020,11,17,Banana,PURI,"Plant Protection",nan,HORTICULTURE,ODISHA,"Black sigatoka disease in banana leaves ","Recommended to spray Copper Oxychoride  40-45 gm per 15 lit of water to control the black sigatoka disease in banana leaves ",19.8076,85.8253
HURA,Fruits,2020,11,29,Banana,PURULIA,"Plant Protection",nan,HORTICULTURE,"WEST BENGAL","ASKING ABOUT CONTROL OF BLACK SIGATOKA IN BANANA"," SPRAY   AZOXYSTROBIN 25 SC  1 ML   LIT OF WATER ",23.2021,86.3229
BOMMANAHAL,Fruits,2021,12,9,Banana,ANANTPUR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","Farmer asked query on  Black sigatoka is a leaf-spot disease of banana plants","--RECOMMENDED TO SPRAY MANCOZEB M-45 600 GRAMS  200 LITRES OF WATER  ACRE   ",13.5747,78.5029
BIRMAHARAJPUR,Fruits,2021,10,17,Banana,SONEPUR,"Plant Protection",nan,HORTICULTURE,ODISHA,"Black sigatoka in banana","Recommended to spray Azoxystrobin 23 SC  200 ml in 200 Litre water per acre  1ml in 1 Litre water to control black sigatoka in banana",20.8454,83.9091
Madathukulam,Fruits,2022,1,19,Banana,TIRUPUR,"Plant Protection",nan,HORTICULTURE,TAMILNADU,"Asking about Black sigatoka leaf spot in banana ",":      : :     1    1     10-15   2   ",11.1672,77.3473
"BANI KODAR",Fruits,2022,3,30,Banana,BARABANKI,"Plant Protection",nan,HORTICULTURE,"UTTAR PRADESH","information about Control For Banana black Sigatoka  ","       Tebuconazole 50 Trifloxystrobin 25 WG 100    200        ",26.9421,81.3856
"B KODUR",Fruits,2022,10,4,Banana,"Y S R ","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","farmer asked query on Black sigatoka is a leaf-spot disease of banana ","RECOMMENDED TO SPRAY AZOXYSTROBINPROPICONAZOLE ADAMA -APROPO 200 ML200 LITRES OF WATER  ACRE RECOMMENDED TO SPRAY PROPICONAZOLE TILT 200 ML200 LITERS OF WATERACRE",15.9241,80.1864
SOHANV,Fruits,2023,1,5,Banana,BALLIA,"Plant Protection",nan,HORTICULTURE,"UTTAR PRADESH","Information about to control of black sigatoka disease in banana ","            2    2          ",25.875,84.121
DUDHAHI,Fruits,2024,12,20,Banana,"KUSHI NAGAR","Plant Protection",nan,HORTICULTURE,"UTTAR PRADESH","Information about the control of black Sigatoka disease in banana crop","           Copper oxychloride 50 WP  2      Streptomycin Sulphate 90  Tetracycline Hydrochloride 10  15           ",27.1303,80.8597
