BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,11,30,Banana,KASARGOD,"Agriculture Mechanization",nan,HORTICULTURE,KERALA,"if once a banana plant is affected with bunchy top disease  is there any measure to save the plant","affected plants can not be saved  we have to take the preventive measures to control the diseawes which includes cutiiing and removal of affected plants",12.4915,74.9878
"0   ",0,2009,8,2,Banana,"RI BHOI",2,JAYAD,HORTICULTURE,MEGHALAYA,"ASKING ABOUT THE BUNCHY TOP DISEASE OF BANANA","SPRAY  ROGOR OR DIMECRON LIT 1MLLT OF WATER",25.8764,91.8568
"0   ",0,2009,9,8,Banana,CUTTACK,2,JAYAD,HORTICULTURE,ODISHA,"BUNCHY TOP DISEASE IN BANANA","SPRAY IMIDACLOPRID  1ML3LIT OF WATER",20.4686,85.8792
"0   ",0,2009,1,23,Banana,GANJAM,2,KHARIF,HORTICULTURE,ODISHA,"BUNCHY TOP DISEASE OF BANANA","SPRAY DIMETHOATE  2MLLIT OF WATER",19.609,84.7081
"0   ",0,2009,3,20,Banana,JHARSUGUDA,2,RABI,HORTICULTURE,ODISHA,"BUNCHY TOP DISEASE IN BANANA","SPRAY DIMETHOATE 2MLLIT OF WATER",21.8019,83.9714
"0   ",0,2009,3,20,Banana,JHARSUGUDA,2,RABI,HORTICULTURE,ODISHA,"BUNCHY TOP DISEASE IN BANANA","SPRAY DIMETHOATE 2MLLIT OF WATER",21.8019,83.9714
"0   ",0,2009,3,20,Banana,JHARSUGUDA,2,RABI,HORTICULTURE,ODISHA,"BUNCHY TOP DISEASE IN BANANA","SPRAY DIMETHOATE 2MLLIT OF WATER",21.8019,83.9714
"0   ",0,2009,5,19,Banana,NADIA,2,RABI,HORTICULTURE,"WEST BENGAL","BUNCHY TOP DISEASE IN BANANA","SPRAY MONOCROTOPHOSE  15 MLLIT OF WATER",23.4847,88.5567
"0   ",0,2010,8,29,Banana,BELGAUM,75,nan,HORTICULTURE,KARNATAKA,"bunchy top disease","the information given",15.8573,74.5069
"0   ",0,2010,11,3,Banana,MANDYA,75,nan,HORTICULTURE,KARNATAKA,"bunchy top disease","information given",12.6369,76.7275
"0   ",0,2010,7,26,Banana,KOTTAYAM,75,nan,HORTICULTURE,KERALA,"Management of Bunchy top disease of banana","Once the plant affected with this disease it is imposibble to cure so Use virus-free suckers apply carbofuran granules 20gP thrice on base of the plant 20DAP65DAP and 160 DAP",9.62874,76.6455
"0   ",0,2010,4,10,Banana,IDUKKI,76,nan,HORTICULTURE,KERALA,"control measures of Banana rhizome weevil and bunchy top disease","Field sanitationremove all bunchy top affected plants Apply neem cake 1kgplant 25 g phorate 10G eg Thimet 10G or 20 g carbofuran 3G eg Furadan 3G each 20 days 75 days and 165 days after planting",9.81548,76.9992
"0   ",0,2010,4,21,Banana,ERNAKULAM,75,nan,HORTICULTURE,KERALA,"Control measures of bunchy top disease","There is no cure for bunchy top viral disease However it can be avoided byusing disease-free planting materialscontrolling of aphids using soapy water or insecticidal soap Spray the plants thoroughly importantly on petioles furled leaves whorls or on young suckersremoving and rouging of infected banana plants Chop dry and bury the infected plants",9.98408,76.2741
