BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
PIPLODA,Fruits,2012,2,23,Banana,RATLAM,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control Crown Rot","Dipping the bunches or hands in Thiobendazole or Benomyl andor using fungicide impregnated cellulose pad for packing is recommended",23.5022,74.9552
"RAIPUR  KARCHULIYAN",Fruits,2012,2,23,Banana,REWA,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control Crown Rot ","Dipping the bunches or hands in Thiobendazole or Benomyl andor using fungicide impregnated cellulose pad for packing is recommended",24.7561,81.3811
KUJANG,Fruits,2015,10,18,Banana,JAGATSINGHAPUR,"Plant Protection",nan,HORTICULTURE,ODISHA,"Erwinia rotcrown rot in Banana","Recommended for basal drenching with Bleaching powder 20gm litre per plant to control Erwinia rotcrown rot in Banana",20.1801,86.3415
VENKATAGIRI,Fruits,2018,9,20,Banana,NELLORE,nan,0,HORTICULTURE,"ANDHRA PRADESH","crown rot in banana","RECOMMENDED TO SPRAY CARBENDAZIM  1GRAM  1 LITRE OF WATER",14.4494,79.9874
WAGHODIA,Fruits,2019,10,19,Banana,VADODARA,"Plant Protection",nan,HORTICULTURE,GUJARAT,"Ask about Crown rot control in Banana",nan,22.2973,73.1943
BRAHMAGIRI,Fruits,2022,1,20,Banana,PURI,"Plant Protection",nan,HORTICULTURE,ODISHA,"Crown rot in Banana","Recommended to spray Carbendazim 50WP  2gm per 1 liter of water for control of Crown rot in Banana",19.8076,85.8253
ANDIYUR,Fruits,2022,4,10,Banana,ERODE,"Plant Protection",nan,HORTICULTURE,TAMILNADU,"Asking about crown rot disease management in banana crop ",":       :  2          ",11.4905,77.3505
LAKKIREDDIPALLE,Fruits,2022,12,29,Banana,"Y S R ","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","FARMER ASKED QUERY ON Crown rottening DISEASE MANAGEMENT IN BANANA  ","RECOMMENDED TO SPRAY  CARBENDAZIM MANCOZEB  SAAF 400GM  200 LIT OF WATER ACRE     400   200        ANDRECOMMENDED TO SPRA COPPER OXY CHLORIDE  BLITOXBLUE COPPER 600  GM 200 LITRES OF WATER  ACRE     600     200         ",15.9241,80.1864
KARIAPATTI,Fruits,2024,9,17,Banana,VIRUDHUNAGAR,"Plant Protection",nan,HORTICULTURE,TAMILNADU,"Asked about crown rot management for Banana "," :      :      5      ",9.49263,77.8632
REUSA,Fruits,2024,9,17,Banana,SITAPUR,"Plant Protection",nan,HORTICULTURE,"UTTAR PRADESH","Information about Crown rottening and Bunchy Top  problems in banana plant","              30   17 8 SL 10 ml   15        ",27.5027,80.8335
VANUR,Fruits,2024,10,16,Banana,VILLUPPURAM,"Plant Protection",nan,HORTICULTURE,TAMILNADU,"Asked about Crown rot disease management in Banana "," :             :    1    5       ",10.9094,78.3665
