BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2010,4,6,Banana,PALAKKAD,75,nan,HORTICULTURE,KERALA,"what are the symptoms of Bacterial Wilt Or Moko Disease in banana",nan,10.7874,76.4742
ANAND,Fruits,2011,8,27,Banana,ANAND,0,nan,HORTICULTURE,GUJARAT,"asking abt moko disease management","suggested to apply coc10 gm  1 gm streptocyclin in 10 lit of water",22.5587,72.9627
"0   ",Fruits,2011,12,12,Banana,RAICHUR,75,nan,HORTICULTURE,KARNATAKA,"moko disease","Eradicate infected plant Expose soil to direct sunlight Use of clean planting material Fallowing and crop rotation is advisable Disinfection of pruning of tools Providing good drainage",16.0547,76.9004
"0   ",Fruits,2011,12,13,Banana,"BANGALORE RURAL",75,nan,HORTICULTURE,KARNATAKA,"moko disease","Eradicate infected plant Expose soil to direct sunlight Use of clean planting material Fallowing and crop rotation is advisable Disinfection of pruning of tools Providing good drainage",13.0011,77.3361
RON,Fruits,2011,10,9,Banana,GADAG,75,nan,HORTICULTURE,KARNATAKA,"moko disease","Eradicate infected plant Expose soil to direct sunlight Use of clean planting material Fallowing and crop rotation is advisable Disinfection of pruning of tools Providing good drainage",15.4167,75.6816
ERODE,Fruits,2012,7,15,Banana,ERODE,75,JAYAD,HORTICULTURE,TAMILNADU,"banana moko disease","spray Copper oxychloride 2 gm  lit",11.4905,77.3505
UTTANGARAI,Fruits,2012,7,6,Banana,KRISHNAGIRI,75,JAYAD,HORTICULTURE,TAMILNADU,"moko disease in banana","remove or eradicate  the ripeing fruit",12.5152,78.0094
"VIKRAM JOT",Fruits,2012,10,8,Banana,BASTI,75,nan,HORTICULTURE,"UTTAR PRADESH","Bacterial Wilt or Moko Disease Mosaic Virus","Carbofuran 3 CG 1GPLANT Mancozeb 75 WP 1G1L WATER SPRAY ON BANANA PLANT",26.8387,82.5351
THONDAMUTHUR,Fruits,2013,4,22,Banana,COIMBATORE,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"Moko disease in banana","spray mancozeb 2 gmlitre",11.0018,76.9628
PERAVURANI,Fruits,2013,7,31,Banana,THANJAVUR,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"banana Moko disease","spray saaf 2glit",10.659,79.2014
PERAVURANI,Fruits,2013,7,31,Banana,THANJAVUR,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"banana Moko disease","spray saaf 2glit",10.659,79.2014
MANUR,Fruits,2013,12,24,Banana,TIRUNELVELI,nan,KHARIF,HORTICULTURE,TAMILNADU,"Moko disease in banana","spray mancozeb 2 gmlitre",8.72031,77.7075
BERHAMPORE,Fruits,2013,4,10,Banana,MURSHIDABAD,"Plant Protection",RABI,HORTICULTURE,"WEST BENGAL","TO CONTROL Moko disease IN BANANA","SPRAY COPPER-OXYCHOLRIDE4GMLIT OF WATER",24.1746,88.2721
CUTTACKSADAR,Fruits,2014,6,24,Banana,CUTTACK,nan,nan,HORTICULTURE,ODISHA,"Moko disease","Providing good drainage",20.4686,85.8792
HATADIHI,Fruits,2014,5,22,Banana,KEONJHAR,"Plant Protection",nan,HORTICULTURE,ODISHA,"Moko disease","Expose soil to direct sunlight  Providing good drainage",21.5,85.5
BARPALI,Fruits,2014,12,4,Banana,BARGARH,"Plant Protection",nan,HORTICULTURE,ODISHA,"MOKO DISEASE IN BANANA","DIRECT SUNLIGHT EXPOSURE CAN HEAL THIS DISEASE",21.232,83.5653
ARANI,Fruits,2014,4,1,Banana,TIRUVANNAMALAI,"Plant Protection",RABI,HORTICULTURE,TAMILNADU,"Moko disease in banana","Expose soil to direct sunlight",12.4289,78.9992
KRUSHNAPRASAD,Fruits,2015,1,14,Banana,PURI,"Plant Protection",nan,HORTICULTURE,ODISHA,"MOKO DISEASE IN BANANA","RECOMMENDED CARBENDAZIM  15GMLITRE WATER SPRAY",19.8076,85.8253
BHUBANESWAR,Fruits,2017,7,9,Banana,KHORDHA,"Plant Protection",nan,HORTICULTURE,ODISHA,"moko disease of manana","soil drench with copper oxychloride 30 gram and streptocyclin 15 gram in 10 litre water",20.0538,85.5023
TARBHA,Fruits,2018,9,17,Banana,SONEPUR,"Plant Protection",nan,HORTICULTURE,ODISHA,"MOKO DISEASE OF BANANA","SOIL DRENCH WITH 30 GRAM COPPEROXYCHLORIDE 50WP AND 15 GRAM STREPTOCYCLIN PER 10 LITRE WATER",20.8454,83.9091
DENDULURU,Fruits,2020,1,12,Banana,"WEST GODAVARI","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","BANANA MOKO DISEASE : ","RECOMMENDED  TO SPRAY STREPTOCYCLINE   20 GRAM   200 LITRES OF WATER ACRE    20   200        RECOMMENDED TO SPRAY ALLITE  2GRAMS PER LITRE OF WATER",16.6443,81.5885
SATYABADI,Fruits,2020,11,5,Banana,PURI,"Plant Protection",nan,HORTICULTURE,ODISHA,"Moko disease or Bacterial wilt in Banana ","Moko disease or Bacterial wilt in Banana  Recommended to drench the root portion of plant with Copper Oxychloride 50 WG  45 gm  Plantomycin  Streptomycin sulphate 9  Tetracycline Hydrochloride 1  15 gm in 15 litre of water ",19.8076,85.8253
BINJHARPUR,Fruits,2023,5,23,Banana,JAJAPUR,"Plant Protection",nan,HORTICULTURE,ODISHA,"Moko disease in Banana","Recommended to spray Copper oxychloride 50WP  3gm  Plantomycin  1gm with 1 liter of water for control of Moko disease in Banana",20.8278,86.3798
OTTAPPALAM,Fruits,2023,7,7,Banana,PALAKKAD,"Plant Protection",nan,HORTICULTURE,KERALA,"Asked about management of Bacterial Wilt or Moko disease in banana","Drench soil with antibiotics like Streptomycin  Streptocycline 500 ppm 5 gram10 litre of waterDisinfect the irrigation water with 01 bleaching powder 1 g  litre of water solutionDrench soil with 1 Bordeaux mixture or Copper oxychloride 50 WP 2 gramlitre of water",10.7874,76.4742
KUNNAMANGALAM,Fruits,2024,3,27,Banana,KOZHIKODE,"Plant Protection",nan,HORTICULTURE,KERALA,"Asked about management of Bacterial Wilt or Moko disease in banana","Suggested to Drench soil with antibiotics like Streptomycin  Streptocycline 500 ppm 5 gram10 litre of water",11.2451,75.7755
SHYAMPUR-I,Fruits,2024,10,13,Banana,HOWRAH,"Plant Protection",nan,HORTICULTURE,"WEST BENGAL","ASKED REMEDY FROM MOKO DISEASE IN BANANNA","                                         :       1:3                    3       -      COPPER OXYCHLORIDE 50 WP   4 GM  LIT OF WATER        ",22.5736,88.3251
THALASSERY,Fruits,2025,3,13,Banana,KANNUR,"Plant Protection",,HORTICULTURE,KERALA,"Asked about the management of Bacterial Wilt or Moko disease","Drench soil with 1 Bordeaux mixture or Copper oxychloride 50 WP 2 gramlitre of water or Adopt crop rotation involving non-host crops for 12 months Before planting treat suckers with Copper oxychloride 50 WP 4 gramlitre of water for 30 minutes Drench soil with antibiotics like Streptomycin  Streptocycline 500 ppm 5 gram10 litre of water",11.8764,75.3738
