BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,11,6,Banana,GUNTUR,76,KHARIF,HORTICULTURE,"ANDHRA PRADESH","ASKED ABOUT THE CONTROL OF NEMATODES","RECOMMENDED TO APPLY CARBOFURON GRANULES 40gmEFFECTED PLANT",16.2915,80.4542
"0   ",0,2009,7,7,Banana,BHARUCH,29,JAYAD,HORTICULTURE,GUJARAT,"Asking Nematodes in Banana","Use Carbofuran 10-15gmTree",21.708,72.9957
"0   ",0,2009,8,12,Banana,KOZHIKODE,29,JAYAD,HORTICULTURE,KERALA,"control of Banana rhizome weevil nematodes aphids","Field sanitation neem cake 1kgplant 25 g phorate 10G eg Thimet 10G or 20 g carbofuran 3G eg Furadan 3G each 20 days 75 days and 165 days after planting",11.2451,75.7755
"0   ",0,2009,12,11,Banana,KOLLAM,0,nan,HORTICULTURE,KERALA,"control of Banana rhizome weevil nematodes aphids","Field sanitation neem cake 1kgplant 25 g phorate 10G eg Thimet 10G or 20 g carbofuran 3G eg Furadan 3G each 20 days 75 days and 165 days after planting",8.88724,76.5909
"0   ",0,2009,5,8,Banana,JALGAON,29,RABI,HORTICULTURE,MAHARASHTRA,"remidies for nematodes in banana crop","remidies for nematodes in banana rhizome dip tratment with 05 monocrotophos for 30 min before planting use merigold as intercrop use neem seed cake to apply plant",20.8429,75.5261
"0   ",0,2009,3,16,Banana,ERODE,29,KHARIF,HORTICULTURE,TAMILNADU,"NEMATODES IN BANANA","APPLY 2MLLIT OF WATER PAECILOMYCES SPECIESPLANT",11.4905,77.3505
"0   ",0,2010,1,30,Banana,KASARGOD,0,nan,HORTICULTURE,KERALA,"control of Banana rhizome weevil nematodes aphids","Field sanitation neem cake 1kgplant 25 g phorate 10G eg Thimet 10G or 20 g carbofuran 3G eg Furadan 3G each 20 days 75 days and 165 days after planting",12.4915,74.9878
"0   ",0,2010,1,17,Banana,KOLLAM,0,nan,HORTICULTURE,KERALA,"control of nematodes in banana","recommended application of furadan at time of planting also more neemcake application",8.88724,76.5909
TALAVADI,0,2010,5,7,Banana,ERODE,76,RABI,HORTICULTURE,TAMILNADU,"control measure for nematodes","apply carbaryl 20gplant",11.4905,77.3505
"0   ",0,2011,1,13,Banana,VALSAD,76,KHARIF,HORTICULTURE,GUJARAT,"asked for the nematodes problem","suggested to apply furadan 33kghactare",20.4322,73.141
"0   ",Fruits,2011,9,9,Banana,BELLARY,76,nan,HORTICULTURE,KARNATAKA,nematodes,"Uproot and burn the diseased plant Apply 20 g carbofuron granules and 2                                    kg neemcake before planting of another plant in same place",15.1434,76.9194
