BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,4,23,Banana,BARPETA,2,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE PANAMA DISEASE OF BANANA","SUGGESTED TO DRENCH THE SOIL WITH BAVISTIN  1GMLITRE OF WATER AT THE INTERVAL OF 10 DAYS REMOVE ALREADY AFFECTED PLANTS",26.3459,91.0397
"0   ",0,2009,8,23,Banana,NAGAON,2,JAYAD,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE PANAMA DISEASE IN BANANA","SUGGESTED MRISLAM TO WET THE SOIL AROUNF THE PLANT 1 OF BORDEAUX MIXTURE OR 005 OF BAVISTIN TO GET RID OFF THIS DISEASE",26.3314,92.7525
"0   ",0,2009,12,26,Banana,NAGAON,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL PANAMA DISEASE OF BANANA",nan,26.3314,92.7525
"0   ",0,2009,12,10,Banana,VAISHALI,75,KHARIF,HORTICULTURE,BIHAR,"PANAMA DISEASE IN BANANA","SPRAY CARBENDAZIM  25 GMLITOF WATER",25.7492,85.3972
"0   ",0,2009,8,9,Banana,BHAVNAGAR,2,JAYAD,HORTICULTURE,GUJARAT,"Asking panama disease in banana","Advice to use Mencozeb 30gmpump",21.7719,72.1416
"0   ",0,2009,4,22,Banana,CHITRADURGA,2,RABI,HORTICULTURE,KARNATAKA,"control of panama disease in banana","drench with carbendizim  1g per liter",14.3049,76.5297
"0   ",0,2009,4,22,Banana,SHIMOGA,2,RABI,HORTICULTURE,KARNATAKA,"control for panama disease in banana","inject with bavistin 10 ml solution that is 30 gm  lit of water",14.0557,75.2381
"0   ",0,2009,5,15,Banana,SEONI,29,JAYAD,HORTICULTURE,"MADHYA PRADESH","control of panama disease in banana","pls apply bavistin  1glit of water",22.2748,79.7203
"0   ",0,2009,1,29,Banana,JALPAIGURI,2,KHARIF,HORTICULTURE,"WEST BENGAL","PANAMA DISEASE OF BANANA","SPRAY CARBENDAZIM  1 GMLIT OF WATER",26.6263,88.7335
"0   ",0,2009,3,7,Banana,MURSHIDABAD,2,JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF PANAMA DISEASE IN BANANA","SPRAY CARBENDAZIN  1 GMLIT OF WATER",24.1746,88.2721
"0   ",0,2009,8,6,Banana,NADIA,2,JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF PANAMA DISEASE IN BANANA","SPRAY CARBENDAZIN  1 GMLIT OF WATER",23.4847,88.5567
"0   ",0,2009,6,22,Banana,BARDDHAMAN,2,JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF PANAMA DISEASE IN BANANA","SPRAY CARBENDAZIM  1 GMLIT OF WATER",23.25,87.75
"0   ",0,2009,3,6,Banana,KOLKATTA,2,JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF PANAMA DISEASE IN BANANA","SPRAY CARBENDAZIN  1 GMLIT OF WATER",22.9965,87.6856
"0   ",0,2009,7,27,Banana,AIZAWL,2,JAYAD,HORTICULTURE,MIZORAM,"ASKING ABOUT PANAMA DISEASE OF BANANA","SUGGESTED TO DRENCH THE SOIL WITH BORDEAUX MIXTURE  1 ",23.8407,92.6211
