BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,2,18,Banana,CHITTOOR,2,KHARIF,HORTICULTURE,"ANDHRA PRADESH","ASKED ABOUT THE CONTROL OF SIGATOKA LEAF SPOT IN BANANA","RECOMMENDED TO SPRAY MANCOZEB25GRAMSLITER",13.2026,79.0032
"0   ",0,2009,1,27,Banana,JUNAGADH,2,KHARIF,HORTICULTURE,GUJARAT,"Asking sigatoka leaf spot in banana","prefer 15gm captafolpump",21.522,70.4582
"0   ",0,2009,4,24,Banana,BELGAUM,2,RABI,HORTICULTURE,KARNATAKA,"Sigatoka leaf spot control in Banana","remove infected leaves and burn them spray Capton 2 glt of water",15.8573,74.5069
"0   ",0,2009,4,29,Banana,BELGAUM,2,RABI,HORTICULTURE,KARNATAKA,"Sigatoka leaf spot control in Banana","remove infected leaves and burn them spray Capton 2 glt of water",15.8573,74.5069
"0   ",0,2009,4,20,Banana,DAVANAGERE,2,RABI,HORTICULTURE,KARNATAKA,"sigatoka leaf spot control in banana","remove dried leaves and burn them spray capton 2 glt of water",14.2559,75.8303
"0   ",0,2009,4,20,Banana,DAVANAGERE,2,RABI,HORTICULTURE,KARNATAKA,"sigatoka leaf spot control in banana","remove dried leaves and burn them spray capton 2 glt of water",14.2559,75.8303
"0   ",0,2009,4,20,Banana,DAVANAGERE,2,RABI,HORTICULTURE,KARNATAKA,"sigatoka leaf spot control in banana","remove dried leaves and burn them spray capton 2 glt of water",14.2559,75.8303
"0   ",0,2009,11,22,Banana,KOZHIKODE,"Agriculture Mechanization",nan,HORTICULTURE,KERALA,"what is the control measure of banana sigatoka leaf spot","spray tilt  3 gL",11.2451,75.7755
"0   ",0,2009,8,7,Banana,CHHINDWARA,2,JAYAD,HORTICULTURE,"MADHYA PRADESH","what are control measure in sigatoka leaf spot in banana","apply vitavax  30 gm  pump",22.2072,78.7988
"0   ",0,2009,8,7,Banana,CHHINDWARA,2,JAYAD,HORTICULTURE,"MADHYA PRADESH","what are control measure in sigatoka leaf spot in banana","apply vitavax  30 gm  pump",22.2072,78.7988
"0   ",0,2009,7,29,Banana,RAJGARH,2,JAYAD,HORTICULTURE,"MADHYA PRADESH","what are control measure in sigatoka leaf spot in banana","apply vitavax  30 gm  pump",23.8717,76.7745
"0   ",0,2009,7,29,Banana,RAJGARH,2,JAYAD,HORTICULTURE,"MADHYA PRADESH","what are control measure in sigatoka leaf spot in banana","apply vitavax  30 gm  pump",23.8717,76.7745
"0   ",0,2009,7,7,Banana,BALANGIR,2,JAYAD,HORTICULTURE,ODISHA,"SIGATOKA LEAF SPOT DISEASE OF BANANA","SPRAY THIPHANATE METHYL 1GMLIT OF WATER",20.6095,83.1673
"0   ",0,2009,11,6,Banana,KHORDHA,75,KHARIF,HORTICULTURE,ODISHA,"SIGATOKA LEAF SPOT DISEASE IN BANANA","SPRAY CARBENDAZIM 15GMLIT OF WATER",20.0538,85.5023
"0   ",0,2009,10,1,Banana,KANCHEEPURAM,2,JAYAD,HORTICULTURE,TAMILNADU,"Control measures for Sigatoka leaf spot in Banana","Spray Mancozeb 2 gmlit or copper oxychloride 25 gmlit with Teepol 5 ml10 lit of water",12.8796,79.7043
"0   ",0,2009,6,19,Banana,CUDDALORE,2,KHARIF,HORTICULTURE,TAMILNADU,"Control measures for Sigatoka leaf spot in Banana","Spray Mancozeb 2 gmlit or copper oxychloride 25 gmlit with Teepol 5 ml10 lit of water",11.5202,79.3396
"0   ",0,2009,8,23,Banana,CUDDALORE,2,JAYAD,HORTICULTURE,TAMILNADU,"sigatoka leaf spot control measure in banana","spray mancozeb 2glit of water",11.5202,79.3396
"0   ",0,2009,12,27,Banana,CUDDALORE,75,RABI,HORTICULTURE,TAMILNADU,"control measure for sigatoka leaf spot in banana","spray mancozeb 2 gmlit",11.5202,79.3396
"0   ",0,2009,3,5,Banana,VELLORE,2,KHARIF,HORTICULTURE,TAMILNADU,"banana sigatoka leaf spot","spray mancozeb 2glit water",12.9022,79.0611
"0   ",0,2009,3,11,Banana,VELLORE,2,KHARIF,HORTICULTURE,TAMILNADU,"banana sigatoka leaf spot","spray mancozeb 2glit water",12.9022,79.0611
"0   ",0,2009,4,21,Banana,VELLORE,2,RABI,HORTICULTURE,TAMILNADU,"Sigatoka leaf spot control measure in banana","spray Mancozeb 2 glit or Copper oxychloride 25 glit",12.9022,79.0611
"0   ",0,2009,9,1,Banana,VELLORE,2,JAYAD,HORTICULTURE,TAMILNADU,"Control measures for Sigatoka leaf spot in Banana","Spray Mancozeb 2 gmlit or copper oxychloride 25 gmlit with Teepol 5 ml10 lit of water",12.9022,79.0611
"0   ",0,2009,9,27,Banana,VELLORE,2,JAYAD,HORTICULTURE,TAMILNADU,"Control Measures for Sigatoka Leaf Spot in Banana","Spray Mancozeb 25gm  lit of water",12.9022,79.0611
