BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,9,22,Banana,MUZAFFARPUR,29,JAYAD,HORTICULTURE,BIHAR,"THRIPS ARE FOUND IN BANANA","SPRAY 02 PHOSPH0MIDAN FOR EFFECTIVE CONTROL OF THRIPS",26.1483,85.3316
"0   ",0,2009,11,20,Banana,KANCHEEPURAM,76,KHARIF,HORTICULTURE,TAMILNADU,"thrips control measure in banana","spray methyl demeton 2ml  lit of water",12.8796,79.7043
"0   ",0,2009,12,26,Banana,KANCHEEPURAM,76,JAYAD,HORTICULTURE,TAMILNADU,"control measure for thrips in banana","spray methyl dematon 2mllit",12.8796,79.7043
"0   ",0,2009,1,26,Banana,COIMBATORE,29,KHARIF,HORTICULTURE,TAMILNADU,"banana Thrips and Lace wing bugs control measure","Thrips and Lace wing bugs: Spray methyl demeton 2 mllit",11.0018,76.9628
"0   ",0,2009,3,31,Banana,ERODE,29,KHARIF,HORTICULTURE,TAMILNADU,"Thrips in banana","spray methyl dematon 2mllit water",11.4905,77.3505
"0   ",0,2009,1,16,Banana,RAMANATHAPURAM,29,KHARIF,HORTICULTURE,TAMILNADU,"banana thrips","spray methyl demeton 2 mllitre",9.52056,78.5185
"0   ",0,2009,1,17,Banana,RAMANATHAPURAM,29,KHARIF,HORTICULTURE,TAMILNADU,"banana thrips","spray methyl demeton 2mllitre",9.52056,78.5185
"0   ",0,2009,9,10,Banana,TIRUNELVELI,29,JAYAD,HORTICULTURE,TAMILNADU,"BANANA THRIPS","SPRAY WITH MONOCROTOPHOS 3MLLIT OF WATER",8.72031,77.7075
"0   ",0,2010,9,18,Banana,ANAND,76,JAYAD,HORTICULTURE,GUJARAT,"Asking about Control of Thrips in Banana","Advice to use Melathion",22.5587,72.9627
"0   ",0,2010,4,3,Banana,IDUKKI,0,nan,HORTICULTURE,KERALA,"control of thrips and lacewing bugs in Banana","Spray Methyl demeton 20 EC  2 mllit or Monocrotophos 36 WSC  1 mllit or Phosphamidon 40 SL  2mllit",9.81548,76.9992
"0   ",0,2010,1,22,Banana,CHHINDWARA,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control of thrips in chilli",nan,22.2072,78.7988
"0   ",0,2010,1,22,Banana,CHHINDWARA,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control of thrips in chilli","to apply spray imidacloprid 7mlpump",22.2072,78.7988
"0   ",0,2010,10,25,Banana,CUDDALORE,76,JAYAD,HORTICULTURE,TAMILNADU,"Thrips control measure in banana","Spray Methyl demeton 20 EC  2 mllit",11.5202,79.3396
VELLORE,0,2010,8,27,Banana,VELLORE,76,JAYAD,HORTICULTURE,TAMILNADU,"Thrips control measure in banana","Spray Methyl demeton 20 EC  2 mllit",12.9022,79.0611
MECHERI,0,2010,3,3,Banana,SALEM,76,KHARIF,HORTICULTURE,TAMILNADU,"Thrips and Lace wing bugs control measure in banana","spray methyl demeton 2ml  lit of water",11.647,78.2107
"0   ",0,2010,9,2,Banana,SALEM,76,JAYAD,HORTICULTURE,TAMILNADU,"THRIPS CONTROL MEASURE IN BANANA","SPRAY MONOCROTOPHOS 2ML  LIT OF WATER",11.647,78.2107
ANAMALAI,0,2010,10,18,Banana,COIMBATORE,76,JAYAD,HORTICULTURE,TAMILNADU,"thrips control measure in banana","spray monocrotophos 2ml  lit",11.0018,76.9628
