BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,7,29,Banana,COIMBATORE,29,JAYAD,HORTICULTURE,TAMILNADU,"Control measure leaf roller for Banana","Spray monocrotophos 2ml  lit of water",11.0018,76.9628
"0   ",0,2010,8,4,Banana,THRISSUR,0,nan,HORTICULTURE,KERALA,"leaf roller attack in banana variety nendarn","spray ekalux 2ml per litre or sevin 4g per litre",10.527,76.2146
"BANGALORE EAST",Fruits,2014,12,15,Banana,BANGALORE,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"leaf roller","carboryll 4g in 1lt of water",12.9882,77.6226
KOPPA,Fruits,2014,12,14,Banana,CHIKMAGALUR,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"banana leaf roller","chloropyriphos 2ml and neem oil  3ml",13.318,75.7739
CHICKMAGALUR,Fruits,2014,12,26,Banana,CHIKMAGALUR,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"banana plant protection leaf roller","visit to parasitoid lab and collect trichogram cards",13.318,75.7739
MADHUGIRI,Fruits,2014,12,6,Banana,TUMKUR,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"LEAF ROLLER","MONOCROTOPOS  15MLLT",13.3401,77.1006
Gauribidanur,Fruits,2014,11,30,Banana,CHIKKABALLAPUR,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"LEAF ROLLER","MONOCROTOPOS  1MLLT",13.0994,77.3887
AZHUTHA,Fruits,2014,9,26,Banana,IDUKKI,"Plant Protection",nan,HORTICULTURE,KERALA,"banana leaf roller caterpillar","apply gomoothra misritham",9.81548,76.9992
IDUKKI,Fruits,2014,11,9,Banana,IDUKKI,"Plant Protection",nan,HORTICULTURE,KERALA,"banana leaf roller","apply ekalux 2ml litre",9.81548,76.9992
TIRUR,Fruits,2014,6,24,Banana,MALAPPURAM,nan,nan,HORTICULTURE,KERALA,"banana leaf roller","apply ekalux 2 ml per 1 litre of water",11.1068,76.11
"SULTHAN BATHERY",Fruits,2014,6,23,Banana,WAYANAD,nan,nan,HORTICULTURE,KERALA,"banana leaf roller worm","banana leaf roller worm apply ekalux 2 ml per 1 litre of water",11.7151,76.1271
