BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,4,1,Banana,NADIA,2,RABI,HORTICULTURE,"WEST BENGAL","CONTROL MOSAIC VIRUS IN BANANA","UPROOT THE AFFECTED PLANT",23.4847,88.5567
"0   ",0,2009,4,1,Banana,NADIA,2,RABI,HORTICULTURE,"WEST BENGAL","CONTROL MOSAIC VIRUS IN BANANA","UPROOT THE AFFECTED PLANT",23.4847,88.5567
"0   ",0,2009,4,1,Banana,NADIA,2,RABI,HORTICULTURE,"WEST BENGAL","CONTROL MOSAIC VIRUS IN BANANA","UPROOT THE AFFECTED PLANT",23.4847,88.5567
"0   ",0,2009,4,1,Banana,NADIA,2,RABI,HORTICULTURE,"WEST BENGAL","CONTROL MOSAIC VIRUS IN BANANA","UPROOT THE AFFECTED PLANT",23.4847,88.5567
"0   ",0,2010,4,2,Banana,JALGAON,75,RABI,HORTICULTURE,MAHARASHTRA,"CONTROL MEASURE FOR BANANA MOSAIC VIRUS","The field should be free from weed infestation Suckers from infected clumps should not be used for planting",20.8429,75.5261
"0   ",0,2010,4,2,Banana,JALGAON,75,RABI,HORTICULTURE,MAHARASHTRA,"CONTROL MEASURE FOR BANANA MOSAIC VIRUS",nan,20.8429,75.5261
"0   ",Fruits,2011,6,2,Banana,"Cooch BIHAR",75,RABI,HORTICULTURE,"WEST BENGAL","Banana bract mosaic virus of banana","Effective control of the disease is similar to that of other viral diseasesIt requires early detection and immediate eradication of infected plantsIn establishing new banana plantings only virus-free propagating materials should be used",26.3224,89.4592
"0   ",0,2011,3,31,Banana,NADIA,75,KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL MOSAIC VIRUS IN BANANA","UPROOT THE AFFECTED PLANT",23.4847,88.5567
"0   ",Fruits,2012,1,20,Banana,AJMER,93,KHARIF,HORTICULTURE,RAJASTHAN,"BABANA PLANT AFFCTED BY MOSAIC VIRUS","DIMETHOATE 30EC 2MLLTR WATER SPRAY",26.4691,74.639
"0   ",Fruits,2012,1,20,Banana,AJMER,93,KHARIF,HORTICULTURE,RAJASTHAN,"BABANA PLANT AFFCTED BY MOSAIC VIRUS","DIMETHOATE 30EC 2MLLTR WATER SPRAY",26.4691,74.639
"POLLACHI NORTH",Fruits,2012,6,6,Banana,COIMBATORE,75,JAYAD,HORTICULTURE,TAMILNADU,"banana bract mosaic virus","spray monocrotophos 2 ml   lit in vector control",11.0018,76.9628
ANDIYUR,Fruits,2012,9,2,Banana,ERODE,75,JAYAD,HORTICULTURE,TAMILNADU,"Banana bract mosaic virus","spray tilt 2mllit",11.4905,77.3505
AMMAPET,Fruits,2012,9,8,Banana,ERODE,75,JAYAD,HORTICULTURE,TAMILNADU,"Infectious chlorosis: Cucumber mosaic virus  in banana","spray methyl demeton 2ml  neem oil 3ml  teepol 1 mllit of water",11.4905,77.3505
THOVALA,Fruits,2012,12,18,Banana,"KANNIYA KUMARI",75,KHARIF,HORTICULTURE,TAMILNADU,"Banana bract mosaic virus","spray tilt 2mllit",10.9094,78.3665
KALASAPAKKAM,Fruits,2012,12,13,Banana,TIRUVANNAMALAI,75,KHARIF,HORTICULTURE,TAMILNADU,"Banana bract mosaic virus","It requires early detection and immediate eradication of infected plants",12.4289,78.9992
