BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,11,2,Cardamom,GUNTUR,75,KHARIF,HORTICULTURE,"ANDHRA PRADESH","ASKED ABOUT THE CONTROL OF LEAFSPOT","RECOMMENDED TO SPRAY CARBANDAZIM 1gmLIT",16.2915,80.4542
"0   ",0,2009,11,11,Cardamom,ANANTPUR,"Water Management Micro Irrigation",nan,HORTICULTURE,"ANDHRA PRADESH","ASKED ABOUT THE SOWING SEASON","SUGGESTED TO SOW IN DECEMBER-JANUARY FIRST WEEK",13.5747,78.5029
"0   ",0,2009,11,4,Cardamom,JIND,92,nan,HORTICULTURE,HARYANA,"THE SEED RATE OF CARDAMOM CROP ","4 KG TO 6KG IN PER ACRE",29.314,76.3179
"0   ",0,2009,11,2,Cardamom,PANIPAT,92,KHARIF,HORTICULTURE,HARYANA,"INFORMATION REGARDING THE SEED RATE OF CARDAMOM CROP ","3KG TO 4KG IN PER ACREFOR SPICES CROP             4KG TO 6KG IN PER ACREFOR GREEN LEAF ",29.3913,76.9772
"0   ",0,2009,11,13,Cardamom,PANIPAT,92,KHARIF,HORTICULTURE,HARYANA,"INFORMATION REGARDING THE SEED RATE OF CARDAMOM CROP ","3KG TO 4KG IN PER ACREFOR SPICES CROP  4KG TO 6KG IN PER ACREFOR GREEN LEAFS ",29.3913,76.9772
"0   ",0,2009,12,19,Cardamom,BANGALORE,"Market Information",nan,HORTICULTURE,KARNATAKA,price,given,12.9882,77.6226
"0   ",0,2009,11,6,Cardamom,ALAPPUZHA,"Agriculture Mechanization",nan,HORTICULTURE,KERALA,"pest and disease management","gave the details",9.50066,76.4124
"0   ",0,2009,11,10,Cardamom,ALAPPUZHA,"Agriculture Mechanization",nan,HORTICULTURE,KERALA,"in which sseason I have to collect cardomum seeds for propagation","Sept- november",9.50066,76.4124
"0   ",0,2009,11,18,Cardamom,ALAPPUZHA,"Agriculture Mechanization",nan,HORTICULTURE,KERALA,"cultivation practices","gave the details",9.50066,76.4124
"0   ",0,2009,12,14,Cardamom,KOTTAYAM,"Fertilizer Use and Availability",nan,HORTICULTURE,KERALA,"Farmer asks about the concentration of bio 20 a commercial formulationapplication for cardomom","3-4 mlL of water",9.62874,76.6455
"0   ",0,2009,11,5,Cardamom,ERNAKULAM,"Agriculture Mechanization",nan,HORTICULTURE,KERALA,"Do you think that organic cultivation if cardamom will work and Can you advise where i could learn on it ","Organic cardamom production is possible Please contact Spices BoardSugandhabhavanPalarivattomCochin Phone 0484 2333610 for more details",9.98408,76.2741
"0   ",0,2009,11,5,Cardamom,PALAKKAD,"Agriculture Mechanization",nan,HORTICULTURE,KERALA,"Whom i contact in keralafor more details about Cardomom cultivation","Please contact Cardamom Research Station Pampadumpara Idukki -685 556 Phone : 04868-236263 Email : crspamkauin",10.7874,76.4742
"0   ",0,2009,11,10,Cardamom,KOZHIKODE,"Agriculture Mechanization",nan,HORTICULTURE,KERALA,"pest management","Gave the details",11.2451,75.7755
"0   ",0,2009,11,13,Cardamom,KOZHIKODE,102,nan,HORTICULTURE,KERALA,"Cardamom katte disease","Removal  Destruction of Infested palmsdont take suckers from infected ones",11.2451,75.7755
