BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
DEVIPATNAM,"Plantation Crops",2013,4,24,Cocoa,"EAST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","stem spots control in cocoa","dimethoate 2mllit",16.9957,81.7154
TUNI,"Plantation Crops",2013,5,15,Cocoa,"EAST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","plants drie",18004250040,16.9957,81.7154
KATRENIKONA,"Plantation Crops",2013,10,19,Cocoa,"EAST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","asked about information","given information 1800 425 1110",16.9957,81.7154
KATRENIKONA,"Plantation Crops",2013,12,4,Cocoa,"EAST GODAVARI","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH",flowering,"mop 2kgplant",16.9957,81.7154
DWARAKATIRUMALA,"Plantation Crops",2013,4,29,Cocoa,"WEST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","black spots","02  Mancozeb",16.6443,81.5885
DWARAKATIRUMALA,"Plantation Crops",2013,8,30,Cocoa,"WEST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","flower drop","plano fix 25 ml10 lit water",16.6443,81.5885
GANAPAVARAM,"Plantation Crops",2013,10,22,Cocoa,"WEST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","cocova cultivation",1800-425-1110,16.6443,81.5885
JANGAREDDIGUDEM,"Plantation Crops",2013,11,15,Cocoa,"WEST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","asking information","thank you for calling",16.6443,81.5885
DWARAKATIRUMALA,"Plantation Crops",2013,11,29,Cocoa,"WEST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","nutrient management","information given",16.6443,81.5885
DWARAKATIRUMALA,"Plantation Crops",2013,11,29,Cocoa,"WEST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","feriiuzer dosage","250 gr each urea  potash  super",16.6443,81.5885
DWARAKATIRUMALA,"Plantation Crops",2013,11,29,Cocoa,"WEST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","asked information","given information",16.6443,81.5885
PEDAVEGI,"Plantation Crops",2013,12,28,Cocoa,"WEST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","cocoa intercrop on palm oil","reduces the soil fertility",16.6443,81.5885
UNGUTURU,"Plantation Crops",2013,7,4,Cocoa,KRISHNA,nan,nan,HORTICULTURE,"ANDHRA PRADESH","COCOA SPACING",25MX25M,16.2128,81.0307
AGIRIPALLI,"Plantation Crops",2013,10,17,Cocoa,KRISHNA,nan,nan,HORTICULTURE,"ANDHRA PRADESH","package practice",thanks,16.2128,81.0307
KURICHEDU,"Plantation Crops",2013,4,24,Cocoa,PRAKASAM,nan,nan,HORTICULTURE,"ANDHRA PRADESH","cocoa platation","referred to ho",15.6643,79.4733
BOGOLE,"Plantation Crops",2013,9,24,Cocoa,NELLORE,nan,nan,HORTICULTURE,"ANDHRA PRADESH","bacterila leaf spot","bordeaux paste application",14.4494,79.9874
YADAMARI,"Plantation Crops",2013,8,10,Cocoa,CHITTOOR,nan,nan,HORTICULTURE,"ANDHRA PRADESH","cocoa plantation crop",1800-425-0080,13.2026,79.0032
MANKACHAR,"Plantation Crops",2013,5,4,Cocoa,DHUBRI,"Field Preparation",JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT FIELD PREPARATION  OF COCOA","EXPLAIN IN DETAILS",26.1323,90.125
BIDUPUR,"Plantation Crops",2013,11,27,Cocoa,VAISHALI,nan,KHARIF,HORTICULTURE,BIHAR,"cocoa ka plant sukh raha hai","Please find out your problem carefully then after call here",25.7492,85.3972
KADUR,"Plantation Crops",2013,8,24,Cocoa,CHIKMAGALUR,nan,nan,HORTICULTURE,KARNATAKA,"copra market rate",4200q,13.318,75.7739
KADUR,"Plantation Crops",2013,12,27,Cocoa,CHIKMAGALUR,nan,nan,HORTICULTURE,KARNATAKA,"cocoa culteral practices","information given",13.318,75.7739
HIRIYUR,"Plantation Crops",2013,12,2,Cocoa,CHITRADURGA,nan,nan,HORTICULTURE,KARNATAKA,"cocoa cultivation","information given",14.3049,76.5297
CHITRADURGA,"Plantation Crops",2013,12,31,Cocoa,CHITRADURGA,nan,nan,HORTICULTURE,KARNATAKA,"copra mandi rate","TIPTUR Copra Average 2987 Quintal  6900 7021 7000",14.3049,76.5297
