BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
BALIKUDA,Fruits,2013,5,31,Mango,JAGATSINGHAPUR,"Plant Protection",nan,HORTICULTURE,ODISHA,"BACTERIAL CANKER","SPRAY PLANTOMYCIN 1GMLT",20.1801,86.3415
BHUBANESWAR,Fruits,2013,5,20,Mango,KHORDHA,"Plant Protection",nan,HORTICULTURE,ODISHA,"BACTERIAL CANKER","SPRAY PLANTOMYCIN 1GMLT",20.0538,85.5023
BASTI,Fruits,2018,5,15,Mango,BASTI,"Plant Protection",JAYAD,HORTICULTURE,"UTTAR PRADESH","farmer want to know Bacterial canker control in mango","Bacterial canker control in mango -Follow common cultural mechanical and biological practicesCultural control:Regular inspection of orchards sanitation and seedling certification are recommended as preventive measuresMango stones for raising seedlings root stock should always be taken from healthy fruitsUse of wind-breaks helps in reducing brushing wounding and thus reduces chance of infection",26.8387,82.5351
SATAON,Fruits,2018,8,9,Mango,RAEBARELI,"Cultural Practices",KHARIF,HORTICULTURE,"UTTAR PRADESH","Bacterial canker disease in mango plants","spray Copper Oxychloride 50 WP 25 gramliter of water",26.2087,81.2186
SAIDPUR,Fruits,2019,9,12,Mango,GHAZIPUR,"Plant Protection",nan,HORTICULTURE,"UTTAR PRADESH","Regarding Bacterial canker in mangosymptom Minute dark greenwater soaked areas appear on leaves and fruitsLaterthese spots become raisedThe disease spread is rapid during rains and becomes severe in july -august",nan,25.6035,83.5076
SARENI,Fruits,2019,9,6,Mango,RAEBARELI,"Plant Protection",nan,HORTICULTURE,"UTTAR PRADESH","Bacterial Canker Disease control in Mango Plants ",nan,26.2087,81.2186
NATTAM,Fruits,2020,10,9,Mango,DINDIGUL,"Plant Protection",nan,HORTICULTURE,TAMILNADU,"Asking about Bacterial canker management in mango"," :          :     5    ",10.4257,77.8157
GADIVEMULA,Fruits,2021,3,6,Mango,KURNOOL,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","Bacterial canker in mango crop ","   600     200         RECOMMENDED  TO SPRAY STREPTOCYCLINE   20 GRAM   200 LITRES OF WATER ACRE    20   200       ",15.8309,78.0425
"IMPHAL WEST I",Fruits,2023,2,1,Mango,"IMPHAL WEST","Plant Protection",nan,HORTICULTURE,MANIPUR,"Asking about the control for bacterial canker in mango","Suggested to spray streptocycline 1gm10 lit of water or copper oxychloride blitox  2gmlit of water or carbendazin 2gmlit of water at 10 days of intervals",24.7573,93.8585
BHOJIPURA,Fruits,2023,6,16,Mango,BAREILLY,"Plant Protection",nan,HORTICULTURE,"UTTAR PRADESH","Information about control of bacterial canker","     50  WP  2      25 EC  15       ",28.4582,79.4047
GADWAL,Fruits,2024,2,4,Mango,"JOGULAMBA GADWAL","Plant Protection",nan,HORTICULTURE,TELANGANA,"Bacterial canker management in mango",":           2    15                   3      ",16.0999,77.7342
LALAM,Fruits,2024,3,4,Mango,KOTTAYAM,"Plant Protection",nan,HORTICULTURE,KERALA,"Asked about the management of Bacterial Canker in Mango","Once the disease is noticed at 10 days intervals and monthly sprays of Bordeaux mixture 1 or Copper oxychloride 50 WP 3 gramlitre of water or Carbendazim 50 WP 1 gramlitre of water are effective in controlling the disease",9.62874,76.6455
RAIPARTHY,Fruits,2024,3,1,Mango,WANAPARTHY,"Plant Protection",nan,HORTICULTURE,TELANGANA,"BACTERIAL CANKER MANAGMENT IN MANGO","--  400   200         ",16.2853,77.9865
