BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
DINAPUR,Fruits,2012,6,2,Mango,PATNA,"Plant Protection",KHARIF,HORTICULTURE,BIHAR,"fruit fly on mango fruit","spray malathione 2ml litre of of water",25.6093,85.1235
KARAKAT,Fruits,2012,11,8,Mango,ROHTAS,0,nan,HORTICULTURE,BIHAR,"fruit fly in mango","Spraying of Fenthion 2 mllit or malathion 2 mllit will control the pest",24.9394,84.0197
BENIPUR,Fruits,2012,5,31,Mango,DARBHANGA,"Plant Protection",KHARIF,HORTICULTURE,BIHAR,"fruit fly on mango fruit","spray malathione 2mllitre of water",26.083,86.0325
"KRITYANAND NAGAR",Fruits,2012,10,17,Mango,PURNEA,0,nan,HORTICULTURE,BIHAR,"Fruit fly in mango","Spraying of Fenthion 2 mllit or malathion 2 mllit will control the pest",25.7774,87.4731
KANTI,Fruits,2012,5,17,Mango,MUZAFFARPUR,"Plant Protection",KHARIF,HORTICULTURE,BIHAR,"fruit fly on the mango fruit","spray malathione 2mllitre of water",26.1483,85.3316
"0   ",Fruits,2012,5,26,Mango,KANGRA,76,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","how to control fruit fly of mango","spray malathion  30ml in 15 litres of water 100gm gur",32.0769,76.2986
"0   ",Fruits,2012,6,23,Mango,TRIVANDRUM,76,nan,HORTICULTURE,KERALA,"mango fruit fly","use methyl euginol trap",8.48823,76.9475
KADUTHURUTHY,Fruits,2012,8,10,Mango,KOTTAYAM,0,nan,HORTICULTURE,KERALA,"mango fruit fly","tulsijaggery trap",9.62874,76.6455
"0   ",Fruits,2012,5,31,Mango,ERNAKULAM,76,nan,HORTICULTURE,KERALA,"mango-fruit fly","tulsi trap",9.98408,76.2741
"0   ",Fruits,2012,5,19,Mango,THRISSUR,76,nan,HORTICULTURE,KERALA,"fruit fly-mango","tulsi trap",10.527,76.2146
"0   ",Fruits,2012,5,11,Mango,KOZHIKODE,76,nan,HORTICULTURE,KERALA,"mango fruit fly","FIRAMONE TRAP  methyl euginol",11.2451,75.7755
"0   ",Fruits,2012,5,16,Mango,KOZHIKODE,76,nan,HORTICULTURE,KERALA,"MANGO FRUIT FLY","use methyl euginol trap",11.2451,75.7755
"0   ",Fruits,2012,8,12,Mango,KANNUR,76,nan,HORTICULTURE,KERALA,"mango fruit fly",nan,11.8764,75.3738
"0   ",Fruits,2012,8,12,Mango,KANNUR,76,nan,HORTICULTURE,KERALA,"mango fruit fly","use banana fruit fly trap",11.8764,75.3738
"0   ",Fruits,2012,12,26,Mango,BEED,76,KHARIF,HORTICULTURE,MAHARASHTRA,"fruit fly","regent 1mllit",18.9918,75.9098
"0   ",Fruits,2012,5,16,Mango,KANCHEEPURAM,76,JAYAD,HORTICULTURE,TAMILNADU,"how to control mango fruit fly","Spray malathion 50EC 2 mll dimethoate 30 EC 1 mll",12.8796,79.7043
ANNUR,Fruits,2012,11,7,Mango,COIMBATORE,76,KHARIF,HORTICULTURE,TAMILNADU,"Fruit fly in mango","spray malathion 50EC 2 ml neem oil 3mlmteepol 1mllit of water",11.0018,76.9628
ANNUR,Fruits,2012,11,9,Mango,COIMBATORE,76,KHARIF,HORTICULTURE,TAMILNADU,"mango fruit fly","spray malathion 2mllit",11.0018,76.9628
VEMBAKKAM,Fruits,2012,11,9,Mango,TIRUVANNAMALAI,76,nan,HORTICULTURE,TAMILNADU,"fruit fly in mango","spray malathion 2mllit",12.4289,78.9992
PURANPUR,Fruits,2012,3,30,Mango,PILIBHIT,87,RABI,HORTICULTURE,"UTTAR PRADESH","how to control Fruit fly","Spraying of Fenthion 2 mllit or malathion 2 mllit will control the pest  Ploughing the inter spaces will expose the pupae",28.4947,80.1076
PURANPUR,Fruits,2012,6,21,Mango,PILIBHIT,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","fruit fly in mango","methyl uginal Malathion 1:1 ka trap banaker laga de",28.4947,80.1076
"0   ",Fruits,2012,4,3,Mango,JALPAIGURI,76,JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF FRUIT FLY IN MANGO","SPRAY CARBARYLE  25 GMLIT OF WATER",26.6263,88.7335
MAL,Fruits,2012,7,22,Mango,JALPAIGURI,76,JAYAD,HORTICULTURE,"WEST BENGAL","ATTACK OF FRUIT FLY IN MANGO","APPLY CARBARYL 50  WP  25 GMLIT OF WATER",26.6263,88.7335
HARISHCHANDRAPUR-I,Fruits,2012,10,12,Mango,MALDAH,76,JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF FRUIT FLY IN MANGO","SPRAYING OF FENATHION   2 MLLIT TO KILLED THE VECTOR",25.0977,88.1262
"0   ",Fruits,2012,12,1,Mango,MALDAH,76,KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF FRUIT FLY IN MANGO","SPRAY CABARYRIL 25 GM LIT OF WATER",25.0977,88.1262
SAGARDIGHI,Fruits,2012,5,13,Mango,MURSHIDABAD,76,RABI,HORTICULTURE,"WEST BENGAL","ATTACK OF FRUIT FLY IN MANGO","APPLY CARBOSULFAN 25  EC  2 MLLIT OF WATER",24.1746,88.2721
BERHAMPORE,Fruits,2012,7,12,Mango,MURSHIDABAD,76,JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF FRUIT FLY IN MANGO","SPRAY ACEPHATE  075 GMLIT OF WATER",24.1746,88.2721
"0   ",Fruits,2012,6,18,Mango,HOOGHLY,76,JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF FRUIT FLY IN MANGO","SPRAY MALATHION  15 MLLIT OF WATER IN 15-20DAYS INTERVAL",22.9099,88.0121
