BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",Fruits,2012,11,29,Mango,"PASHCHIM CHAMPARAN",75,KHARIF,HORTICULTURE,BIHAR,"Red rust IN Mango leaf","Bordeaux mixture 1 or Copper oxychloride 025",27,84.5
"0   ",Fruits,2012,8,16,Mango,VADODARA,75,JAYAD,HORTICULTURE,GUJARAT,"ask for mango red rust","suggest coc 10gmpump",22.2973,73.1943
JAORA,Fruits,2012,8,18,Mango,RATLAM,0,JAYAD,HORTICULTURE,"MADHYA PRADESH","how to control  red rust of mango","spray  copper oxichloride   25glitof water",23.5022,74.9552
JAORA,Fruits,2012,11,9,Mango,RATLAM,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control  red rust in mango ","Bordeaux mixture 06 or Copper oxychloride 025",23.5022,74.9552
BARSOI,Fruits,2013,1,21,Mango,KATIHAR,"Plant Protection",KHARIF,HORTICULTURE,BIHAR,"red rust in mango","bordiux mixture 1",25.5586,87.6457
PANDHANA,Fruits,2013,3,26,Mango,"EAST NIMAR",75,RABI,HORTICULTURE,"MADHYA PRADESH"," Red rust in mango ","Bordeaux mixture 1 or Copper oxychloride 025",21.75,76.5833
GUNA,Fruits,2013,4,12,Mango,GUNA,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","Red rust controle ","Bordeaux mixture 1 or Copper oxychloride 025",24.5002,77.2601
SHAJAPUR,Fruits,2013,6,26,Mango,SHAJAPUR,"Plant Protection",JAYAD,HORTICULTURE,"MADHYA PRADESH","control of red rust of mango","Bordeaux mixture 1 or Copper oxychloride 025",23.4171,76.6075
TARANA,Fruits,2013,2,11,Mango,UJJAIN,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control red rust in mango","Bordeaux mixture 1 or Copper oxychloride 025",23.1885,75.7717
TARANA,Fruits,2013,2,11,Mango,UJJAIN,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control red rust in mango",nan,23.1885,75.7717
