BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
JUNAGADH,Fruits,2012,12,22,Mango,JUNAGADH,75,KHARIF,HORTICULTURE,GUJARAT,"ask for mango thrips","suggest imidachloprid 5mlpump",21.522,70.4582
MAHENDRAGARH,Fruits,2012,11,5,Mango,"MAHENDRA GARH",76,KHARIF,HORTICULTURE,HARYANA,"how to control thrips  mango crops ","spray to malathion 500ml in 500liter of water acre ",29,76
"0   ",Fruits,2012,12,8,Mango,NASIK,76,RABI,HORTICULTURE,MAHARASHTRA,thrips,imida,19.9613,73.8317
"0   ",Fruits,2012,11,6,Mango,AHMADNAGAR,76,KHARIF,HORTICULTURE,MAHARASHTRA,thrips,"regent 2mllit",19.0744,74.722
"0   ",Fruits,2012,12,8,Mango,AHMADNAGAR,76,RABI,HORTICULTURE,MAHARASHTRA,thrips,imida,19.0744,74.722
"0   ",Fruits,2012,12,29,Mango,PUNE,76,KHARIF,HORTICULTURE,MAHARASHTRA,"attac thrips",nan,18.5214,73.8545
"0   ",Fruits,2012,12,23,Mango,SANGLI,76,nan,HORTICULTURE,MAHARASHTRA,"thrips control mango crop","use phepronil 20mlpump",17.1727,74.5868
KHULTABAD,Fruits,2012,12,25,Mango,AURANGABAD,76,RABI,HORTICULTURE,MAHARASHTRA,thrips,imida,19.8773,75.339
BADNAPUR,Fruits,2012,12,23,Mango,JALNA,76,RABI,HORTICULTURE,MAHARASHTRA,thrips,imida,19.9188,75.8709
"0   ",Fruits,2012,11,4,Mango,BEED,76,RABI,HORTICULTURE,MAHARASHTRA,"thrips on mango",imida,18.9918,75.9098
"0   ",Fruits,2012,12,23,Mango,BEED,76,KHARIF,HORTICULTURE,MAHARASHTRA,"mango atac thrips",confidoar,18.9918,75.9098
DEODAR,Fruits,2013,3,8,Mango,"BANAS KANTHA","Plant Protection",KHARIF,HORTICULTURE,GUJARAT,"Ask Mango Hoppers Thrips","I suggested Spray 10 ml Imidachloprid 178  SL 15 glit in 10 litre of water",24.25,72.5
VALSAD,Fruits,2013,3,16,Mango,VALSAD,76,nan,HORTICULTURE,GUJARAT,"ask abt thrips","suggested monocrotophos 10 ml  10lit water",20.4322,73.141
IDAR,Fruits,2013,4,29,Mango,SABARKANTHA,nan,nan,HORTICULTURE,GUJARAT,"ask for mango thrips","i suggested monocrotophos 10mlpump",23.8689,73.0138
AMRELI,Fruits,2013,2,27,Mango,AMRELI,"Plant Protection",nan,HORTICULTURE,GUJARAT,"Ask Mango Hoppers Thrips","I suggested Spray 3 ml Imidachloprid 178  SL 15 glit in 10 litre of water",21.4176,71.2496
TALAJA,Fruits,2013,3,5,Mango,BHAVNAGAR,"Plant Protection",nan,HORTICULTURE,GUJARAT,"Ask Mango Hoppers Thrips","I suggested Spray 10 ml Imidachloprid 178  SL 15 glit in 10 litre of water",21.7719,72.1416
GADHADA,Fruits,2013,3,13,Mango,BHAVNAGAR,"Plant Protection",KHARIF,HORTICULTURE,GUJARAT,"Ask Mango Hoppers Thrips","I suggested Spray 3 ml Imidachloprid 178  SL 20 mlpump 10 litre of water",21.7719,72.1416
JAMNAGAR,Fruits,2013,2,21,Mango,JAMNAGAR,"Plant Protection",nan,HORTICULTURE,GUJARAT,"Ask Mango Hoppers Thrips","I suggested Spray 3 ml Imidachloprid 178  SL 15 glit in 10 litre of water",22.4732,70.0552
DHROL,Fruits,2013,3,7,Mango,JAMNAGAR,"Plant Protection",nan,HORTICULTURE,GUJARAT,"Ask Mango Hoppers Thrips","I suggested Spray 3 ml Imidachloprid 178  SL 15 glit in 10 litre of water",22.4732,70.0552
JAMNAGAR,Fruits,2013,3,12,Mango,JAMNAGAR,"Plant Protection",KHARIF,HORTICULTURE,GUJARAT,"Ask Mango Hoppers Thrips","I suggested Spray 20 ml Imidachloprid 178  SL 15 glit in 15 litre of water",22.4732,70.0552
"0   ",Fruits,2013,2,19,Mango,JUNAGADH,76,KHARIF,HORTICULTURE,GUJARAT,"ask for mango thrips control","spray mithayal o dematon 15mlpump",21.522,70.4582
VANTHALI,Fruits,2013,2,27,Mango,JUNAGADH,"Plant Protection",nan,HORTICULTURE,GUJARAT,"Ask Mango Hoppers Thrips","I suggested Spray 3 ml Imidachloprid 178  SL 15 glit in 10 litre of water",21.522,70.4582
KESHOD,Fruits,2013,3,1,Mango,JUNAGADH,76,KHARIF,HORTICULTURE,GUJARAT,"ask for mango thrips control","spray mithayal o dematon 15mlpump",21.522,70.4582
