BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",Fruits,2012,12,10,Mango,VIZIANAGARM,76,nan,HORTICULTURE,"ANDHRA PRADESH","control of hoppers in mango","spraying of carbaryle 3 grmslit water",15.9241,80.1864
BICCAVOLU,Fruits,2012,12,1,Mango,"EAST GODAVARI",76,nan,HORTICULTURE,"ANDHRA PRADESH","control of plant hoppers in mango","spraying of dichlorovas 250 mlacre",16.9957,81.7154
"0   ",Fruits,2012,11,30,Mango,"WEST GODAVARI",76,nan,HORTICULTURE,"ANDHRA PRADESH","control of hoppers in mango","spraying of dichlorovas 125 mllit water",16.6443,81.5885
"0   ",Fruits,2012,12,7,Mango,KRISHNA,76,nan,HORTICULTURE,"ANDHRA PRADESH","control of hoppers in mango","spraying of dichlorovas 125 mllit water",16.2128,81.0307
"0   ",Fruits,2012,12,12,Mango,KRISHNA,0,nan,HORTICULTURE,"ANDHRA PRADESH","control of mango hoppers","spraying of monocrotophas 16mllitre water",16.2128,81.0307
VATSAVAI,Fruits,2012,12,28,Mango,KRISHNA,76,nan,HORTICULTURE,"ANDHRA PRADESH","control of mango hoppers","spraying of monocrotophas 16mllitre water",16.2128,81.0307
"0   ",Fruits,2012,12,1,Mango,PRAKASAM,76,nan,HORTICULTURE,"ANDHRA PRADESH","control of plant hoppers in mango","spraying of dichlorovas 250 mlacre",15.6643,79.4733
"0   ",Fruits,2012,12,2,Mango,NELLORE,76,nan,HORTICULTURE,"ANDHRA PRADESH","control of hoppers in mango","spraying of dichlorovas 125 mllit water",14.4494,79.9874
ASPARI,Fruits,2012,12,15,Mango,KURNOOL,76,nan,HORTICULTURE,"ANDHRA PRADESH","control of mango hoppers in mango","spraying of monocrotophas 16 mllit water",15.8309,78.0425
VEDURUKUPPAM,Fruits,2012,7,13,Mango,CHITTOOR,76,nan,HORTICULTURE,"ANDHRA PRADESH","asked about control of hoppers in mango","suggested to spray chloropyriphos 25ml or dimethioate2ml per liter water",13.2026,79.0032
"0   ",Fruits,2012,10,10,Mango,CHITTOOR,0,nan,HORTICULTURE,"ANDHRA PRADESH","asked about  mango hoppers control","recommended acephate",13.2026,79.0032
"0   ",Fruits,2012,10,19,Mango,CHITTOOR,0,nan,HORTICULTURE,"ANDHRA PRADESH","asked about  mango hoppers control","recommended acephate",13.2026,79.0032
"0   ",Fruits,2012,10,22,Mango,CHITTOOR,0,nan,HORTICULTURE,"ANDHRA PRADESH","asked about  mango hoppers control","recommended acephate",13.2026,79.0032
CHENGA,Fruits,2012,10,11,Mango,BARPETA,76,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT TO CONTROL OF MANGO HOPPER","SUGGESTED HIM TO APPLY ROGOUR 1MLLITER OF WATER",26.3459,91.0397
