BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",Fruits,2012,12,21,Mango,"EAST GODAVARI",76,nan,HORTICULTURE,"ANDHRA PRADESH","asked about leaf webber","suggest to spray  chloripyriphos 25ml per lit",16.9957,81.7154
"0   ",Fruits,2012,12,3,Mango,"WEST GODAVARI",0,nan,HORTICULTURE,"ANDHRA PRADESH","asked about leaf webber in mango crop","recomended monochrotophos",16.6443,81.5885
"0   ",Fruits,2012,12,16,Mango,KRISHNA,0,nan,HORTICULTURE,"ANDHRA PRADESH","leaf webber",monohrotophos,16.2128,81.0307
ADONI,Fruits,2012,9,19,Mango,KURNOOL,0,nan,HORTICULTURE,"ANDHRA PRADESH","asked about mango leaf webber control","recommended acephate",15.8309,78.0425
KODUR,Fruits,2012,12,22,Mango,"Y S R ",0,nan,HORTICULTURE,"ANDHRA PRADESH","asked about mango leaf webber","recomended monochrotophos",15.9241,80.1864
CUTTACKSADAR,Fruits,2012,11,11,Mango,CUTTACK,"Plant Protection",nan,HORTICULTURE,ODISHA,"LEAF WEBBER","QUINALPHOS 2mllt OF WATER",20.4686,85.8792
"DHENKANAL SADAR",Fruits,2012,12,19,Mango,DHENKANAL,"Plant Protection",nan,HORTICULTURE,ODISHA,"LEAF WEBBER","QUINALPHOS 2mllt OF WATER",20.8351,85.6022
"0   ",Fruits,2013,3,8,Mango,VIZIANAGARM,0,nan,HORTICULTURE,"ANDHRA PRADESH","leaf webber",chloripyriphos,15.9241,80.1864
"0   ",Fruits,2013,2,9,Mango,"EAST GODAVARI",0,nan,HORTICULTURE,"ANDHRA PRADESH","leaf webber",chloripyriphos,16.9957,81.7154
MAMIDIKUDURU,Fruits,2013,12,18,Mango,"EAST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","leaf webber","chlorpyriphos 25 mlL water",16.9957,81.7154
BUTTAYAGUDEM,Fruits,2013,4,5,Mango,"WEST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","LEAF WEBBER","MONO 15 ML 2 G CARBARYL",16.6443,81.5885
PODURU,Fruits,2013,4,19,Mango,"WEST GODAVARI","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","mango leaf webber","quinolphos  25mlliter or carbaryl 3gmliter watre",16.6443,81.5885
KAMAVARAPUKOTA,Fruits,2013,4,26,Mango,"WEST GODAVARI","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","leaf webber in mango","carbaryl  3gmliter water",16.6443,81.5885
GAMPALAGUDEM,Fruits,2013,1,11,Mango,KRISHNA,76,nan,HORTICULTURE,"ANDHRA PRADESH","leaf webber in mango","spraying of quinolphos 2 mllt",16.2128,81.0307
