BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",Fruits,2012,7,10,Mango,SRIKAKULAM,0,nan,HORTICULTURE,"ANDHRA PRADESH","asked about control of mealybugs in mango","control of mealybugs in mango -suggested to spray dichlorovas2mllit",18.2949,83.8939
VELLORE,Fruits,2012,11,14,Mango,VELLORE,93,KHARIF,HORTICULTURE,TAMILNADU,"red ant  mealybug in mango","spray monocrotophos 2mllit  mealy bug-australian lady birdbeetle",12.9022,79.0611
SALEM,Fruits,2012,5,8,Mango,SALEM,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"what is the control method for mango mealybug","apply quinolphos 2mllit",11.647,78.2107
"0   ",Fruits,2012,5,3,Mango,HOOGHLY,76,RABI,HORTICULTURE,"WEST BENGAL","ATTACK OF MEALYBUG IN MANGO","ATTACK OF ACETAMIPRID 20  SP  1 GM10 LIT OF WATER",22.9099,88.0121
"0   ",Fruits,2012,5,4,Mango,"North DINAJPUR",76,RABI,HORTICULTURE,"WEST BENGAL","ATTACK OF MEALYBUG IN MANGO","APPLY IMIDACLOPRID 178  SL  1 ML 5 LIT OF WATER",22.9965,87.6856
BOMMANAHAL,Fruits,2013,8,3,Mango,ANANTPUR,nan,nan,HORTICULTURE,"ANDHRA PRADESH",mealybugmango,"metasistax 2mlltr311831423103312831353128314931033093314931283149 2 31183136 31223136 31223136",13.5747,78.5029
MANIGACHHI,Fruits,2013,7,29,Mango,DARBHANGA,"Plant Protection",nan,HORTICULTURE,BIHAR,"MEALYBUG IN MANGO","SPRAY IMIDACHLOPRID 178 SL  1 ML 3 LITRE OF WATER",26.083,86.0325
NAWDA,Fruits,2013,5,9,Mango,MURSHIDABAD,"Plant Protection",RABI,HORTICULTURE,"WEST BENGAL","ATTACK OF MEALYBUG IN MANGO","SPRAY ACETAMIPRID 20  SP  1 GM 5 LIT OF WATER",24.1746,88.2721
TEHATTA-II,Fruits,2013,3,28,Mango,NADIA,76,KHARIF,HORTICULTURE,"WEST BENGAL","ATTACK OF MEALYBUG IN MANGO","SPRAY IMIDACLOPRID 178  SL  1 ML 5 LIT OF WATER",23.4847,88.5567
RAMPURHAT-I,Fruits,2013,3,27,Mango,BIRBHUM,76,RABI,HORTICULTURE,"WEST BENGAL","mango mealybug","spray monocrotophos  25 mll of water",24.0622,87.6983
CHITTOOR,Fruits,2014,12,13,Mango,CHITTOOR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","mango mealybug","cloropyripus 2mllit",13.2026,79.0032
SANGRAMPUR,Fruits,2014,4,17,Mango,MUNGER,"Plant Protection",nan,HORTICULTURE,BIHAR,"MEALYBUG IN MANGO","SPRAY IMIDACHLOPRID 178 SL  1 ML PER LITRE OF WATER ID-BIH6926181",25.2203,86.5162
