BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
AVANIGADDA,Fruits,2012,12,4,Mango,KRISHNA,75,nan,HORTICULTURE,"ANDHRA PRADESH","stem borer","mithil parathion 1ml",16.2128,81.0307
"0   ",Fruits,2012,12,22,Mango,PRAKASAM,76,nan,HORTICULTURE,"ANDHRA PRADESH","stem borer","monocrotophos 2ml",15.6643,79.4733
"0   ",Fruits,2012,12,15,Mango,ANANTPUR,76,nan,HORTICULTURE,"ANDHRA PRADESH","control of stem borer in mango","spraying of carbaryle 3 grmlit water",13.5747,78.5029
CHENNUR,Fruits,2012,8,17,Mango,"Y S R ",93,nan,HORTICULTURE,"ANDHRA PRADESH","asked about stem borer in mango","suggested to remove the insects manually and close the holes with insectide and close with mud",15.9241,80.1864
FATUHA,Fruits,2012,9,16,Mango,PATNA,0,nan,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",25.6093,85.1235
FATUHA,Fruits,2012,10,26,Mango,PATNA,0,nan,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",25.6093,85.1235
BAKHTIARPUR,Fruits,2012,11,21,Mango,PATNA,0,KHARIF,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",25.6093,85.1235
BIHTA,Fruits,2012,12,5,Mango,PATNA,0,KHARIF,HORTICULTURE,BIHAR,"STEM BORER IN MANGO","SPRAY CARBARYL  2GMLT OF WATER",25.6093,85.1235
MASAURHI,Fruits,2012,12,22,Mango,PATNA,0,KHARIF,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",25.6093,85.1235
CHANDI,Fruits,2012,10,2,Mango,NALANDA,0,JAYAD,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",25.1365,85.4437
"0   ",Fruits,2012,10,3,Mango,NALANDA,0,JAYAD,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",25.1365,85.4437
HILSA,Fruits,2012,11,8,Mango,NALANDA,0,nan,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",25.1365,85.4437
BEN,Fruits,2012,11,19,Mango,NALANDA,0,nan,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",25.1365,85.4437
BEHEA,Fruits,2012,10,9,Mango,BHOJPUR,0,JAYAD,HORTICULTURE,BIHAR,"stem borer in mango",nan,25.4501,84.5635
BEHEA,Fruits,2012,11,3,Mango,BHOJPUR,"Plant Protection",nan,HORTICULTURE,BIHAR,"Stem borer in mango","Make paste of CuSO4 and lime and appliy it on affected part",25.4501,84.5635
ARA,Fruits,2012,12,11,Mango,BHOJPUR,0,KHARIF,HORTICULTURE,BIHAR,"STEM BORER IN MANGO","SPRAY CARBARYL  2GMLT OF WATER",25.4501,84.5635
KARAKAT,Fruits,2012,9,18,Mango,ROHTAS,0,nan,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",24.9394,84.0197
NOKHA,Fruits,2012,9,26,Mango,ROHTAS,0,JAYAD,HORTICULTURE,BIHAR,"Mango stem borer","spray carbaryl  2gmlt of water",24.9394,84.0197
DINARA,Fruits,2012,10,3,Mango,ROHTAS,0,JAYAD,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",24.9394,84.0197
NAWHATTA,Fruits,2012,11,28,Mango,ROHTAS,0,KHARIF,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",24.9394,84.0197
KARGAHAR,Fruits,2012,11,29,Mango,ROHTAS,0,KHARIF,HORTICULTURE,BIHAR,"STEM BORER IN MANGO","SPRAY CARBARYL  2GMLT OF WATER",24.9394,84.0197
DEHRI,Fruits,2012,11,30,Mango,ROHTAS,0,KHARIF,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",24.9394,84.0197
SASARAM,Fruits,2012,11,30,Mango,ROHTAS,0,KHARIF,HORTICULTURE,BIHAR,"stem borer in mango","spray carbaryl  2gmlt of water",24.9394,84.0197
SASARAM,Fruits,2012,12,22,Mango,ROHTAS,0,KHARIF,HORTICULTURE,BIHAR,"STEM BORER IN Mngo","spraY CARBARYL  2GMLT OF WATER",24.9394,84.0197
